column,missing_count,missing_pct,non_null_count
kenpom_miscellaneous_team_stats__dfp,8208,88.6106,1055
kenpom_summary_pre_tournament__seed,7661,82.7054,1602
kenpom_miscellaneous_team_stats__nstrate,7106,76.7138,2157
kenpom_miscellaneous_team_stats__oppnstrate,7106,76.7138,2157
kenpom_miscellaneous_team_stats__ranknstrate,7106,76.7138,2157
kenpom_miscellaneous_team_stats__rankoppnstrate,7106,76.7138,2157
kenpom_efficiency__avg_possession_length_defense,3614,39.0154,5649
kenpom_efficiency__avg_possession_length_defense_rank,3614,39.0154,5649
kenpom_efficiency__avg_possession_length_offense,3614,39.0154,5649
kenpom_efficiency__avg_possession_length_offense_rank,3614,39.0154,5649
kenpom_height__avgheight,2593,27.9931,6670
kenpom_height__bench,2593,27.9931,6670
kenpom_height__benchrank,2593,27.9931,6670
kenpom_height__centerdr,2593,27.9931,6670
kenpom_height__centerheight,2593,27.9931,6670
kenpom_height__centeror,2593,27.9931,6670
kenpom_height__centerpts,2593,27.9931,6670
kenpom_height__effectiveheight,2593,27.9931,6670
kenpom_height__experience,2593,27.9931,6670
kenpom_height__pfdr,2593,27.9931,6670
kenpom_height__pfheight,2593,27.9931,6670
kenpom_height__pfor,2593,27.9931,6670
kenpom_height__pfpts,2593,27.9931,6670
kenpom_height__pgdr,2593,27.9931,6670
kenpom_height__pgheight,2593,27.9931,6670
kenpom_height__pgor,2593,27.9931,6670
kenpom_height__pgpts,2593,27.9931,6670
kenpom_height__rankavgheight,2593,27.9931,6670
kenpom_height__rankcenterdr,2593,27.9931,6670
kenpom_height__rankcenterheight,2593,27.9931,6670
kenpom_height__rankcenteror,2593,27.9931,6670
kenpom_height__rankcenterpts,2593,27.9931,6670
kenpom_height__rankeffectiveheight,2593,27.9931,6670
kenpom_height__rankexperience,2593,27.9931,6670
kenpom_height__rankpfdr,2593,27.9931,6670
kenpom_height__rankpfheight,2593,27.9931,6670
kenpom_height__rankpfor,2593,27.9931,6670
kenpom_height__rankpfpts,2593,27.9931,6670
kenpom_height__rankpgdr,2593,27.9931,6670
kenpom_height__rankpgheight,2593,27.9931,6670
kenpom_height__rankpgor,2593,27.9931,6670
kenpom_height__rankpgpts,2593,27.9931,6670
kenpom_height__ranksfdr,2593,27.9931,6670
kenpom_height__ranksfheight,2593,27.9931,6670
kenpom_height__ranksfor,2593,27.9931,6670
kenpom_height__ranksfpts,2593,27.9931,6670
kenpom_height__ranksgdr,2593,27.9931,6670
kenpom_height__ranksgheight,2593,27.9931,6670
kenpom_height__ranksgor,2593,27.9931,6670
kenpom_height__ranksgpts,2593,27.9931,6670
kenpom_height__sfdr,2593,27.9931,6670
kenpom_height__sfheight,2593,27.9931,6670
kenpom_height__sfor,2593,27.9931,6670
kenpom_height__sfpts,2593,27.9931,6670
kenpom_height__sgdr,2593,27.9931,6670
kenpom_height__sgheight,2593,27.9931,6670
kenpom_height__sgor,2593,27.9931,6670
kenpom_height__sgpts,2593,27.9931,6670
kenpom_summary_pre_tournament__adjde,983,10.6121,8280
kenpom_summary_pre_tournament__adjem,983,10.6121,8280
kenpom_summary_pre_tournament__adjoe,983,10.6121,8280
kenpom_summary_pre_tournament__adjtempo,983,10.6121,8280
kenpom_summary_pre_tournament__de,983,10.6121,8280
kenpom_summary_pre_tournament__oe,983,10.6121,8280
kenpom_summary_pre_tournament__rankadjde,983,10.6121,8280
kenpom_summary_pre_tournament__rankadjem,983,10.6121,8280
kenpom_summary_pre_tournament__rankadjoe,983,10.6121,8280
kenpom_summary_pre_tournament__rankadjtempo,983,10.6121,8280
kenpom_summary_pre_tournament__rankde,983,10.6121,8280
kenpom_summary_pre_tournament__rankoe,983,10.6121,8280
kenpom_summary_pre_tournament__ranktempo,983,10.6121,8280
kenpom_summary_pre_tournament__tempo,983,10.6121,8280
kenpom_miscellaneous_team_stats__arate,949,10.2451,8314
kenpom_miscellaneous_team_stats__blockpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__fg2pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__fg3pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__fg3rate,949,10.2451,8314
kenpom_miscellaneous_team_stats__ftpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__opparate,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppblockpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppfg2pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppfg3pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppfg3rate,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppftpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppstlrate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankarate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankblockpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankfg2pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankfg3pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankfg3rate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankftpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankopparate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankoppblockpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankoppfg2pct,949,10.2451,8314
