column,missing_count,missing_pct,non_null_count
kenpom_miscellaneous_team_stats__dfp,8406,88.849,1055
kenpom_summary_pre_tournament__seed,7859,83.0673,1602
kenpom_miscellaneous_team_stats__nstrate,7304,77.2011,2157
kenpom_miscellaneous_team_stats__oppnstrate,7304,77.2011,2157
kenpom_miscellaneous_team_stats__ranknstrate,7304,77.2011,2157
kenpom_miscellaneous_team_stats__rankoppnstrate,7304,77.2011,2157
kenpom_efficiency__avg_possession_length_defense,3812,40.2917,5649
kenpom_efficiency__avg_possession_length_defense_rank,3812,40.2917,5649
kenpom_efficiency__avg_possession_length_offense,3812,40.2917,5649
kenpom_efficiency__avg_possession_length_offense_rank,3812,40.2917,5649
kenpom_height__avgheight,2791,29.5001,6670
kenpom_height__bench,2791,29.5001,6670
kenpom_height__benchrank,2791,29.5001,6670
kenpom_height__centerdr,2791,29.5001,6670
kenpom_height__centerheight,2791,29.5001,6670
kenpom_height__centeror,2791,29.5001,6670
kenpom_height__centerpts,2791,29.5001,6670
kenpom_height__effectiveheight,2791,29.5001,6670
kenpom_height__experience,2791,29.5001,6670
kenpom_height__pfdr,2791,29.5001,6670
kenpom_height__pfheight,2791,29.5001,6670
kenpom_height__pfor,2791,29.5001,6670
kenpom_height__pfpts,2791,29.5001,6670
kenpom_height__pgdr,2791,29.5001,6670
kenpom_height__pgheight,2791,29.5001,6670
kenpom_height__pgor,2791,29.5001,6670
kenpom_height__pgpts,2791,29.5001,6670
kenpom_height__rankavgheight,2791,29.5001,6670
kenpom_height__rankcenterdr,2791,29.5001,6670
kenpom_height__rankcenterheight,2791,29.5001,6670
kenpom_height__rankcenteror,2791,29.5001,6670
kenpom_height__rankcenterpts,2791,29.5001,6670
kenpom_height__rankeffectiveheight,2791,29.5001,6670
kenpom_height__rankexperience,2791,29.5001,6670
kenpom_height__rankpfdr,2791,29.5001,6670
kenpom_height__rankpfheight,2791,29.5001,6670
kenpom_height__rankpfor,2791,29.5001,6670
kenpom_height__rankpfpts,2791,29.5001,6670
kenpom_height__rankpgdr,2791,29.5001,6670
kenpom_height__rankpgheight,2791,29.5001,6670
kenpom_height__rankpgor,2791,29.5001,6670
kenpom_height__rankpgpts,2791,29.5001,6670
kenpom_height__ranksfdr,2791,29.5001,6670
kenpom_height__ranksfheight,2791,29.5001,6670
kenpom_height__ranksfor,2791,29.5001,6670
kenpom_height__ranksfpts,2791,29.5001,6670
kenpom_height__ranksgdr,2791,29.5001,6670
kenpom_height__ranksgheight,2791,29.5001,6670
kenpom_height__ranksgor,2791,29.5001,6670
kenpom_height__ranksgpts,2791,29.5001,6670
kenpom_height__sfdr,2791,29.5001,6670
kenpom_height__sfheight,2791,29.5001,6670
kenpom_height__sfor,2791,29.5001,6670
kenpom_height__sfpts,2791,29.5001,6670
kenpom_height__sgdr,2791,29.5001,6670
kenpom_height__sgheight,2791,29.5001,6670
kenpom_height__sgor,2791,29.5001,6670
kenpom_height__sgpts,2791,29.5001,6670
kenpom_summary_pre_tournament__adjde,1179,12.4617,8282
kenpom_summary_pre_tournament__adjem,1179,12.4617,8282
kenpom_summary_pre_tournament__adjoe,1179,12.4617,8282
kenpom_summary_pre_tournament__adjtempo,1179,12.4617,8282
kenpom_summary_pre_tournament__de,1179,12.4617,8282
kenpom_summary_pre_tournament__oe,1179,12.4617,8282
kenpom_summary_pre_tournament__rankadjde,1179,12.4617,8282
kenpom_summary_pre_tournament__rankadjem,1179,12.4617,8282
kenpom_summary_pre_tournament__rankadjoe,1179,12.4617,8282
kenpom_summary_pre_tournament__rankadjtempo,1179,12.4617,8282
kenpom_summary_pre_tournament__rankde,1179,12.4617,8282
kenpom_summary_pre_tournament__rankoe,1179,12.4617,8282
kenpom_summary_pre_tournament__ranktempo,1179,12.4617,8282
kenpom_summary_pre_tournament__tempo,1179,12.4617,8282
kenpom_miscellaneous_team_stats__arate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__blockpct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__fg2pct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__fg3pct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__fg3rate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__ftpct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__opparate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__oppblockpct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__oppfg2pct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__oppfg3pct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__oppfg3rate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__oppftpct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__oppstlrate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankarate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankblockpct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankfg2pct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankfg3pct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankfg3rate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankftpct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankopparate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankoppblockpct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankoppfg2pct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankoppfg3pct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankoppfg3rate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankoppftpct,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankoppstlrate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__rankstlrate,1147,12.1235,8314
kenpom_miscellaneous_team_stats__stlrate,1147,12.1235,8314
kenpom_defense__efgpct,193,2.04,9268
kenpom_defense__ftrate,193,2.04,9268
kenpom_defense__orpct,193,2.04,9268
kenpom_defense__rankefgpct,193,2.04,9268
kenpom_defense__rankftrate,193,2.04,9268
kenpom_defense__rankorpct,193,2.04,9268
kenpom_defense__ranktopct,193,2.04,9268
kenpom_defense__topct,193,2.04,9268
kenpom_efficiency__adjusted_defensive_efficiency,193,2.04,9268
kenpom_efficiency__adjusted_defensive_efficiency_rank,193,2.04,9268
kenpom_efficiency__adjusted_offensive_efficiency,193,2.04,9268
kenpom_efficiency__adjusted_offensive_efficiency_rank,193,2.04,9268
kenpom_efficiency__adjusted_temo,193,2.04,9268
kenpom_efficiency__adjusted_tempo_rank,193,2.04,9268
kenpom_efficiency__conference,193,2.04,9268
kenpom_efficiency__raw_defensive_efficiency,193,2.04,9268
kenpom_efficiency__raw_defensive_efficiency_rank,193,2.04,9268
kenpom_efficiency__raw_offensive_efficiency,193,2.04,9268
kenpom_efficiency__raw_offensive_efficiency_rank,193,2.04,9268
kenpom_efficiency__raw_tempo,193,2.04,9268
kenpom_efficiency__raw_tempo_rank,193,2.04,9268
kenpom_offense__efgpct,193,2.04,9268
kenpom_offense__ftrate,193,2.04,9268
kenpom_offense__orpct,193,2.04,9268
kenpom_offense__rankefgpct,193,2.04,9268
kenpom_offense__rankftrate,193,2.04,9268
kenpom_offense__rankorpct,193,2.04,9268
kenpom_offense__ranktopct,193,2.04,9268
kenpom_offense__topct,193,2.04,9268
kenpom_point_distribution__def2ptfg,192,2.0294,9269
kenpom_point_distribution__def3ptfg,192,2.0294,9269
