Season,TeamID,TeamName,ConfAbbrev,is_tourney_team,tourney_seed_num,kp_tempo,kp_ranktempo,kp_adjtempo,kp_rankadjtempo,kp_oe,kp_rankoe,kp_adjoe,kp_rankadjoe,kp_de,kp_rankde,kp_adjde,kp_rankadjde,kp_adjem,kp_rankadjem,rs_games,rs_wins,rs_avg_pts_for,rs_avg_pts_against,rs_avg_margin,rs_margin_std,rs_fgm,rs_fga,rs_fgm3,rs_fga3,rs_ftm,rs_fta,rs_orb,rs_drb,rs_ast,rs_to,rs_stl,rs_blk,rs_pf,rs_opp_fgm,rs_opp_fga,rs_opp_fgm3,rs_opp_fga3,rs_opp_ftm,rs_opp_fta,rs_opp_or,rs_opp_dr,rs_opp_ast,rs_opp_to,rs_opp_stl,rs_opp_blk,rs_opp_pf,rs_win_pct,rs_fg_pct,rs_fg3_pct,rs_ft_pct,rs_fg2_pct,rs_efg_pct,rs_to_rate,rs_or_pct,rs_dr_pct,rs_ft_rate,rs_ast_to_ratio,rs_opp_fg_pct,rs_opp_fg3_pct,rs_opp_ft_pct,rs_opp_fg2_pct,rs_opp_efg_pct,rs_opp_to_rate,rs_opp_ft_rate,lms_slope,lms_r2,lms_residual_std,lms_consistency,lms_margin_vs_weak_surplus
2026,1101,Abilene Chr,wac,0,,68.9,153,67.8,149,98.3,341,101.1,312,106.6,126,107.6,139,-6.5,240,26,10,68.26923076923077,73.34615384615384,-5.076923076923077,13.34742844722706,23.46153846153846,55.38461538461539,5.8076923076923075,18.192307692307693,15.538461538461538,21.846153846153847,8.846153846153847,18.192307692307693,12.73076923076923,12.192307692307692,7.230769230769231,6.461538461538462,20.846153846153847,24.5,48.30769230769231,6.0,14.923076923076923,18.346153846153847,25.384615384615383,6.269230769230769,21.846153846153847,12.423076923076923,13.0,7.6923076923076925,8.461538461538462,18.115384615384617,0.38461538461538464,0.42361111111111105,0.3192389006342494,0.7112676056338028,0.4746639089968976,0.4760416666666666,0.1579534809558926,0.2882205513784461,0.7437106918238994,0.39444444444444443,1.0441640378548895,0.5071656050955414,0.4020618556701031,0.7227272727272728,0.554147465437788,0.569267515923567,0.1793674379112715,0.5254777070063694,-46.3696932080156,0.12459533319533223,12.745779870717575,0.6470193586110815,4.076923076923077
2026,1102,Air Force,mwc,0,,67.4,225,66.3,238,91.3,363,95.6,352,118.7,352,115.5,301,-19.9,344,29,3,62.241379310344826,79.86206896551724,-17.620689655172413,14.472668312333345,21.93103448275862,51.172413793103445,6.931034482758621,21.82758620689655,11.448275862068966,17.93103448275862,6.137931034482759,20.75862068965517,12.517241379310345,11.344827586206897,4.793103448275862,5.379310344827586,17.620689655172413,28.137931034482758,57.44827586206897,8.620689655172415,22.517241379310345,14.96551724137931,20.689655172413794,8.724137931034482,23.896551724137932,15.137931034482758,9.96551724137931,6.9655172413793105,4.310344827586207,17.79310344827586,0.10344827586206896,0.42857142857142855,0.3175355450236967,0.6384615384615385,0.5111633372502937,0.49629380053908356,0.1611323342149084,0.20436280137772675,0.704093567251462,0.3504043126684636,1.1033434650455927,0.4897959183673469,0.38284839203675347,0.7233333333333333,0.558736426456071,0.5648259303721489,0.1302388463271744,0.3601440576230492,-37.869891767325505,0.261621418081896,12.664419502857463,0.48851058849483897,7.4778325123152705
2026,1103,Akron,mac,1,12.0,71.2,44,70.3,32,121.9,6,118.8,54,104.6,84,106.0,113,12.8,64,27,22,88.22222222222223,75.96296296296296,12.25925925925926,13.297173188870438,31.40740740740741,62.81481481481482,10.851851851851851,28.22222222222222,14.555555555555555,18.703703703703702,9.444444444444445,24.333333333333332,18.40740740740741,9.777777777777779,6.185185185185185,4.62962962962963,16.555555555555557,26.40740740740741,60.888888888888886,9.333333333333334,26.333333333333332,13.814814814814815,18.925925925925927,9.925925925925926,19.25925925925926,13.592592592592593,11.296296296296296,5.148148148148148,5.37037037037037,16.22222222222222,0.8148148148148148,0.5,0.38451443569553806,0.7782178217821782,0.5942184154175589,0.5863797169811321,0.12097882870497664,0.32903225806451614,0.7102702702702702,0.2977594339622641,1.8825757575757576,0.433698296836983,0.3544303797468355,0.7299412915851271,0.4941050375133977,0.5103406326034063,0.1403047142383984,0.31082725060827254,-20.75968043325053,0.17780282710381345,12.29600368012224,0.578333274843967,4.586894586894587
2026,1104,Alabama,sec,1,4.0,74.6,5,73.1,4,122.0,5,129.0,3,111.0,245,103.3,67,25.7,18,29,22,92.13793103448276,83.06896551724138,9.068965517241379,16.201699722301534,30.275862068965516,65.89655172413794,12.862068965517242,35.62068965517241,18.724137931034484,24.448275862068964,10.10344827586207,27.20689655172414,16.448275862068964,8.551724137931034,5.862068965517241,6.827586206896552,18.724137931034484,29.620689655172413,69.41379310344827,7.931034482758621,24.20689655172414,15.89655172413793,23.06896551724138,12.10344827586207,24.379310344827587,13.862068965517242,8.620689655172415,6.0,4.551724137931035,20.06896551724138,0.7586206896551724,0.45944531658817367,0.36108422071636015,0.765867418899859,0.5751708428246012,0.5570381998953426,0.10036584971023407,0.293,0.6921052631578948,0.3710099424385138,1.9233870967741935,0.4267262791852956,0.32763532763532766,0.6890881913303437,0.4797864225781847,0.48385494287133635,0.09775706197015674,0.33233979135618485,-86.98118294814866,0.24472228283543063,14.338741931645313,0.5053058694148165,11.700265251989391
2026,1105,Alabama A&M,swac,0,,67.3,231,65.3,292,105.7,237,104.0,269,109.4,206,116.7,315,-12.7,302,26,13,70.73076923076923,73.73076923076923,-3.0,17.624982269494627,23.307692307692307,53.80769230769231,6.1923076923076925,18.26923076923077,17.923076923076923,24.076923076923077,7.615384615384615,22.26923076923077,10.692307692307692,9.692307692307692,5.346153846153846,4.730769230769231,18.115384615384617,25.615384615384617,56.11538461538461,7.576923076923077,21.192307692307693,14.923076923076923,20.884615384615383,8.423076923076923,22.884615384615383,14.423076923076923,9.76923076923077,5.153846153846154,4.846153846153846,18.96153846153846,0.5,0.43316654753395284,0.3389473684210526,0.744408945686901,0.48160173160173164,0.49070764832022873,0.1308112373081954,0.24968474148802017,0.7255639097744361,0.4474624731951394,1.1031746031746033,0.45647703906785475,0.35753176043557167,0.7145488029465931,0.5165198237885463,0.523989033584647,0.13012828394606338,0.37217272104180943,-20.242707830840978,0.10512956609540958,17.01661417275169,0.675763101890902,1.9230769230769231
2026,1106,Alabama St,swac,0,,71.3,43,69.5,71,100.2,323,99.2,336,109.1,197,113.6,266,-14.4,314,28,9,72.32142857142857,78.28571428571429,-5.964285714285714,19.149474691290646,24.857142857142858,60.035714285714285,7.5,22.785714285714285,15.107142857142858,21.285714285714285,10.321428571428571,21.464285714285715,11.75,11.607142857142858,6.892857142857143,5.535714285714286,19.285714285714285,26.214285714285715,57.0,8.214285714285714,23.321428571428573,17.642857142857142,24.107142857142858,9.214285714285714,23.821428571428573,14.464285714285714,11.392857142857142,6.928571428571429,5.821428571428571,17.714285714285715,0.32142857142857145,0.414039262343843,0.329153605015674,0.7097315436241611,0.4659635666347076,0.4765020820939917,0.14328289775332417,0.30230125523012547,0.69965075669383,0.3545508625817965,1.0123076923076924,0.4598997493734336,0.3522205206738131,0.7318518518518519,0.5344644750795333,0.5319548872180452,0.1442133815551537,0.42293233082706766,-27.512853422681154,0.2155064308799376,17.284099863336234,0.5357732979675366,5.271978021978022
2026,1107,SUNY Albany,aec,0,,65.6,312,65.2,295,105.1,251,103.3,281,113.1,294,118.2,332,-14.9,319,27,8,68.88888888888889,74.48148148148148,-5.592592592592593,15.532247495153824,26.0,57.370370370370374,6.962962962962963,21.444444444444443,9.925925925925926,15.0,8.666666666666666,20.14814814814815,12.88888888888889,10.25925925925926,6.111111111111111,5.444444444444445,16.88888888888889,25.85185185185185,56.18518518518518,8.148148148148149,22.814814814814813,14.62962962962963,19.925925925925927,8.62962962962963,20.85185185185185,14.444444444444445,9.222222222222221,5.666666666666667,5.37037037037037,13.851851851851851,0.2962962962962963,0.45319561007101355,0.32469775474956825,0.6617283950617284,0.5298969072164949,0.513879922530665,0.1382097595050394,0.2936010037641154,0.7001287001287001,0.2614590058102001,1.256317689530686,0.46011865524060647,0.3571428571428572,0.7342007434944238,0.5305216426193119,0.5326301911667766,0.12433090996245104,0.3546473302570864,-22.826367490858317,0.19816650163154836,14.183815378500386,0.55484103779487,6.977207977207977
2026,1108,Alcorn St,swac,0,,69.4,120,67.2,185,96.2,354,96.3,349,114.5,319,116.5,313,-20.2,339,28,7,67.60714285714286,81.75,-14.142857142857142,19.49114573094055,24.392857142857142,57.5,6.821428571428571,19.678571428571427,12.0,16.892857142857142,8.142857142857142,18.678571428571427,11.392857142857142,12.75,6.214285714285714,5.0,17.821428571428573,28.964285714285715,57.642857142857146,7.107142857142857,20.607142857142858,16.714285714285715,23.035714285714285,10.25,24.0,15.928571428571429,10.285714285714286,7.571428571428571,6.107142857142857,14.821428571428571,0.25,0.42422360248447205,0.34664246823956446,0.7103594080338267,0.46458923512747874,0.4835403726708074,0.16412887564824008,0.25333333333333335,0.645679012345679,0.2937888198757764,0.8935574229691876,0.5024783147459727,0.34488734835355284,0.7255813953488373,0.5901639344262294,0.5641263940520447,0.13175953884161404,0.39962825278810404,-35.81232732215961,0.27217739043352973,16.94514728616882,0.47829376998781226,9.142857142857142
2026,1110,American Univ,patriot,0,,66.7,258,66.7,220,108.2,179,105.6,240,108.7,186,111.9,233,-6.3,235,29,14,71.93103448275862,72.58620689655173,-0.6551724137931034,16.04296878045458,25.103448275862068,57.62068965517241,8.96551724137931,27.0,12.758620689655173,16.79310344827586,7.586206896551724,19.75862068965517,12.655172413793103,9.724137931034482,5.862068965517241,3.1724137931034484,19.0,24.724137931034484,52.172413793103445,6.758620689655173,19.344827586206897,16.379310344827587,22.655172413793103,7.827586206896552,23.586206896551722,13.379310344827585,10.482758620689655,5.724137931034483,4.896551724137931,16.689655172413794,0.4827586206896552,0.43566726511071213,0.33205619412515963,0.7597535934291582,0.527027027027027,0.5134649910233393,0.13011701303015763,0.2433628318584071,0.7162499999999999,0.291442250149611,1.3014184397163122,0.4738929279577,0.3493761140819964,0.7229832572298326,0.5472689075630253,0.5386649041639129,0.14434399453012234,0.4342366159947125,-32.437703821543764,0.3252803887061979,13.419722603081913,0.4296664233045735,6.51231527093596
2026,1111,Appalachian St,sun_belt,0,,64.1,353,63.0,359,107.6,193,105.8,232,104.8,88,108.2,147,-2.4,193,29,17,69.20689655172414,66.79310344827586,2.413793103448276,13.65262204376693,23.82758620689655,55.44827586206897,7.827586206896552,25.586206896551722,13.724137931034482,21.448275862068964,9.482758620689655,24.06896551724138,11.517241379310345,7.931034482758621,4.310344827586207,4.413793103448276,15.689655172413794,23.275862068965516,57.3448275862069,7.758620689655173,24.20689655172414,12.482758620689655,17.689655172413794,8.275862068965518,21.517241379310345,12.03448275862069,7.896551724137931,4.517241379310345,3.7241379310344827,19.17241379310345,0.5862068965517241,0.42972636815920395,0.3059299191374663,0.639871382636656,0.5357967667436488,0.5003109452736317,0.10891801788149719,0.30589543937708563,0.744136460554371,0.38681592039800994,1.4521739130434783,0.4058929645219483,0.3205128205128205,0.7056530214424951,0.4682622268470343,0.47354179194227297,0.10813516423323197,0.3084786530366807,-6.1270578234734545,0.008333426413383305,13.845098133685948,0.9087123972634656,0.8719211822660098
