feature_name,feature_group,model_role,include_for_audit,target_game_univ_auc,target_game_univ_logloss_lift_pct,target_game_univ_p,target_game_univ_q_fdr,target_game_univ_odds_ratio,target_game_multivar_coef_std,target_game_sign_stability_pct,target_game_perm_importance_pctile,target_game_shap_importance_pctile,target_game_ablation_logloss_delta_pct,target_champ_univ_auc,target_champ_univ_logloss_lift_pct,target_champ_univ_p,target_champ_univ_q_fdr,target_champ_univ_odds_ratio,target_champ_multivar_coef_std,target_champ_sign_stability_pct,target_champ_perm_importance_pctile,target_champ_shap_importance_pctile,target_champ_ablation_logloss_delta_pct,target_roundflags_auc_avg,target_roundflags_perm_importance_pctile,importance_rank_stability_std,cutoff_significance_band,cutoff_univariate_band,cutoff_multivariate_band,cutoff_stability_band,overall_recommendation,recommendation_reason,notes
Season,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamID,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamName,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConfAbbrev,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_tourney_team,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tourney_seed_num,identity_or_label,id_or_label,1,0.7765175383322831,18.548462501779646,1.9800188720189343e-120,1.386013210413254e-118,0.30144837015639236,-0.30868467383100284,100.0,78.57142857142857,,-0.3014360615610201,0.930344827586207,24.11884801778634,4.5906889938428725e-06,2.9213475415363733e-05,0.017034453541842503,-0.49801268163518664,100.0,100.0,,3.6156294510871803,0.8679808488311026,99.64285714285714,12.269992709388028,strong,strong,core_level,stable,core,High contribution and stable over time,
kp_tempo,kenpom,feature,1,0.5206460656096087,0.05976949807674702,0.05565919295247041,0.06603633062157506,1.0738468228473736,0.23236261173675254,100.0,77.14285714285715,,0.07116929208728326,0.6045768025078371,0.48244846155232046,0.0562505392045527,0.09603750595899242,1.51965662895514,0.0,0.0,48.57142857142857,,0.007166058747881861,0.5237498352760538,61.607142857142854,14.303931836610337,weak,weak,low,stable,situational,Mixed evidence; keep for now pending pruning phase,
kp_ranktempo,kenpom,feature,1,0.518581863887472,0.04069189653970023,0.12012151448483768,0.1356210647409458,0.943837815914733,-0.05324321573228109,60.0,8.571428571428571,,-0.025273660654678027,0.6156426332288402,0.29130195591388974,0.06597150430709012,0.10443835594773786,0.6586036714873135,0.004900441583440974,20.0,71.42857142857143,,-0.026700751622873425,0.5256741933208713,77.5,38.16418611788828,not_significant,weak,low,unstable,low_value,Low signal across statistical and predictive checks,
kp_adjtempo,kenpom,feature,1,0.5120758658430816,-0.00012716001119191558,0.24328817923017465,0.25803291736533673,1.0443362962283964,0.04741779964698876,60.0,35.714285714285715,,-0.008283378935833105,0.5727899686520377,-0.4376953961166651,0.20252120200401547,0.2535970885024157,1.3209298395124915,0.0,0.0,48.57142857142857,,0.005112693066182393,0.5200299068800338,53.21428571428571,9.065614934998056,not_significant,near_noise,low,unstable,low_value,Low signal across statistical and predictive checks,
kp_rankadjtempo,kenpom,feature,1,0.5119334578331788,0.0036452492714184113,0.29453532540317606,0.30772347430182573,0.9617880308789106,0.12956163839970752,80.0,62.857142857142854,,-0.0569448413787907,0.5811755485893417,-0.5248502024553529,0.18710751926040947,0.2444723840525278,0.7469185796648297,0.037958878327744514,40.0,82.85714285714286,,-0.03093042420713693,0.5237939335341383,61.964285714285715,11.813189475253132,not_significant,near_noise,low,stable,low_value,Low signal across statistical and predictive checks,
