feature_name,in_core,in_extended,in_experimental,note
kp_adjem,1,1,1,
kp_adjoe,1,1,1,
kp_rankadjde,1,1,1,
kp_rankoe,1,1,1,
lms_residual_std,1,1,1,
rs_ast_to_ratio,1,1,1,
rs_drb,1,1,1,
rs_fgm,1,1,1,
rs_ft_pct,1,1,1,
rs_ft_rate,1,1,1,
rs_opp_blk,1,1,1,
rs_opp_ft_pct,1,1,1,
rs_pf,1,1,1,
rs_win_pct,1,1,1,
tourney_seed_num,1,1,1,
kp_adjde,0,1,1,Dropped from core due to high correlation with kp_rankadjde (|r|=0.966)
kp_de,0,1,1,
kp_oe,0,1,1,Dropped from core due to high correlation with kp_adjoe (|r|=0.933)
kp_rankadjoe,0,1,1,Dropped from core due to high correlation with kp_adjoe (|r|=0.951)
kp_rankde,0,1,1,
kp_tempo,0,1,1,
lms_consistency,0,1,1,
lms_margin_vs_weak_surplus,0,1,1,
lms_slope,0,1,1,
rs_ast,0,1,1,
rs_avg_margin,0,1,1,Dropped from core due to high correlation with kp_adjem (|r|=0.901)
rs_avg_pts_against,0,1,1,
rs_avg_pts_for,0,1,1,Dropped from core due to high correlation with rs_fgm (|r|=0.929)
rs_blk,0,1,1,
rs_dr_pct,0,1,1,
rs_efg_pct,0,1,1,
rs_fg2_pct,0,1,1,
rs_fg3_pct,0,1,1,
rs_fg_pct,0,1,1,
rs_fga,0,1,1,
rs_fgm3,0,1,1,
rs_games,0,1,1,
rs_margin_std,0,1,1,
rs_opp_ast,0,1,1,
rs_opp_dr,0,1,1,
rs_opp_efg_pct,0,1,1,
rs_opp_fg2_pct,0,1,1,
rs_opp_fg3_pct,0,1,1,
rs_opp_fg_pct,0,1,1,
rs_opp_fga,0,1,1,
rs_opp_fgm,0,1,1,
rs_opp_fgm3,0,1,1,
rs_opp_ft_rate,0,1,1,
rs_opp_fta,0,1,1,
rs_opp_or,0,1,1,
rs_opp_stl,0,1,1,
rs_opp_to,0,1,1,
rs_or_pct,0,1,1,
rs_orb,0,1,1,
rs_stl,0,1,1,
rs_to,0,1,1,
rs_to_rate,0,1,1,
kp_adjtempo,0,0,1,
kp_rankadjem,0,0,1,Dropped from core due to high correlation with kp_adjem (|r|=0.980)
kp_rankadjtempo,0,0,1,
kp_ranktempo,0,0,1,
lms_r2,0,0,1,Dropped from extended due to near-duplicate with lms_consistency (|r|=0.984)
rs_fga3,0,0,1,
rs_fta,0,0,1,
rs_ftm,0,0,1,
rs_opp_fga3,0,0,1,
rs_opp_ftm,0,0,1,Dropped from extended due to near-duplicate with rs_opp_fta (|r|=0.970)
rs_opp_pf,0,0,1,
rs_opp_to_rate,0,0,1,
rs_wins,0,0,1,Dropped from core due to high correlation with rs_win_pct (|r|=0.974)
