Abbrev,Stat Name,Data Source,Registry Status,Reason
%FBP,Fast Break Points % of Total Points,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
%PITP,Points in the Paint % of Total Points,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
%POTOV,Points off Turnovers % of Total Points,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
%SCP,2nd Chance Points % of Total Points,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
AP Poll,AP Poll Rank,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
AP Poll Agst,AP Poll Rank Against,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
BENCH,Bench Points,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
BENCH/100,Bench Points / 100 Poss,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
BENCH/40,Bench Points / 40 Mins,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
BENCH/G,Bench Points / Game,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
biggestRunAgst,biggestRunAgst,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
DPF,Defensive Personal Fouls,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
DPF/100,Defensive Personal Fouls / 100 Poss,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
DPF/40,Defensive Personal Fouls / 40 Mins,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
DPF/G,Defensive Personal Fouls / Game,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
DRtg Adj,Adjustment to DRtg,kenpom,implemented,KenPom stat function exists but source value is missing for this team-season
EFF,Player Efficiency,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
eFG% Adj,Adjustment to eFG%,kenpom,unavailable,No implemented stat function and no derivation rule from currently loaded columns
eFG%**Adj,Adjusted Effective Field Goal Percentage,kenpom,unavailable,No implemented stat function and no derivation rule from currently loaded columns
FBP,Fast Break Points,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
FBP AGST,Opponent Fast Break Points,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
FBP DIFF,Fast Break Points Differential,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
FBPTS PTS/100,Fast Break Points / 100 Poss,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
FBPTS PTS/40,Fast Break Points / 40 Mins,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
FBPTS PTS/G,Fast Break Points / Game,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
FTA Rate Adj,Adjustment to FTA Rate,kenpom,unavailable,No implemented stat function and no derivation rule from currently loaded columns
FTA Rate**Adj,Adjusted Free Throw Attempt Rate,kenpom,unavailable,No implemented stat function and no derivation rule from currently loaded columns
gameUpdated,gameUpdated,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
HKM%,Hakeem Percentage,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
isCT,isCT,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
Largest Deficit,Largest Deficit,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
Largest Lead,Largest Lead,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
Largest Score Margin,Largest Score Margin,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
Lead Changes,Lead Changes,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
Longest Scoring Run,Longest Scoring Run,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
Longest Scoring Run Score,Longest Scoring Run Score,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
LOSS10,Losses Leading by 10,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
LOSS15,Losses Leading by 15,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
LOSS20,Losses Leading by 20,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
LOSS5,Losses Leading by 5,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
NET Ranking,NCAA Net Ranking,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
Net Rtg Adj,Adjustment to Net Rating,kenpom,unavailable,No implemented stat function and no derivation rule from currently loaded columns
netRankAgst,netRankAgst,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
NO LEAD L,Losses Without Leading,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
NO TRAIL W,Wins Without Trailing,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
OPF,Offensive Personal Fouls,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
OPF/100,Offensive Personal Fouls / 100 Poss,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
OPF/40,Offensive Personal Fouls / 40 Mins,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
OPF/G,Offensive Personal Fouls / Game,"box_score, pbp",unavailable,No implemented stat function and no derivation rule from currently loaded columns
ORB% Adj,Adjustment to ORB%,kenpom,unavailable,No implemented stat function and no derivation rule from currently loaded columns
ORB%**Adj,Adjusted Offensive Rebound Percentage,kenpom,unavailable,No implemented stat function and no derivation rule from currently loaded columns
ORtg Adj,Adjustment to ORtg,kenpom,implemented,KenPom stat function exists but source value is missing for this team-season
Pace Adj,Adjustment to Pace,kenpom,implemented,KenPom stat function exists but source value is missing for this team-season
PF Eff,Personal Foul Efficiency,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
PITP AGST,Opponent Points In The Paint,box_score,unavailable,No implemented stat function and no derivation rule from currently loaded columns
