Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Seed
2026,Abilene Christian,68.9,153,67.8,149,98.3,341,101.1,312,106.6,126,107.6,139,-6.5,240,
2026,Air Force,67.4,225,66.3,238,91.3,363,95.6,352,118.7,352,115.5,301,-19.9,344,
2026,Akron,71.2,44,70.3,32,121.9,6,118.8,54,104.6,84,106,113,12.8,64,12
2026,Alabama,74.6,5,73.1,4,122,5,129,3,111,245,103.3,67,25.7,18,4
2026,Alabama A&M,67.3,231,65.3,292,105.7,237,104,269,109.4,206,116.7,315,-12.7,302,
2026,Alabama St.,71.3,43,69.5,71,100.2,323,99.2,336,109.1,197,113.6,266,-14.4,314,
2026,Albany,65.6,312,65.2,295,105.1,251,103.3,281,113.1,294,118.2,332,-14.9,319,
2026,Alcorn St.,69.4,120,67.2,185,96.2,354,96.3,349,114.5,319,116.5,313,-20.2,339,
2026,American,66.7,258,66.7,220,108.2,179,105.6,240,108.7,186,111.9,233,-6.3,235,
2026,Appalachian St.,64.1,353,63,359,107.6,193,105.8,232,104.8,88,108.2,147,-2.4,193,
2026,Arizona,71.4,37,69.8,54,120.1,16,127.7,5,96.1,5,90,3,37.7,2,1
2026,Arizona St.,70.6,73,69.2,77,108.1,181,115.8,78,110.8,238,103.2,66,12.6,63,
2026,Arkansas,72.4,19,71,20,122.6,3,127.7,6,109.1,200,101.6,48,26.1,13,4
2026,Arkansas Pine Bluff,71.2,45,68.9,94,104.1,269,104,268,114.4,315,117.3,326,-13.3,304,
2026,Arkansas St.,72.6,16,71.9,10,111.3,114,110.6,144,106.4,119,109.2,173,1.4,146,
2026,Army,67.3,234,67.1,195,103.1,287,100.1,321,115.2,327,118.5,335,-18.4,324,
2026,Auburn,69.2,135,67.2,191,118.5,32,124.8,15,114,308,105.8,107,19,35,
2026,Austin Peay,70.1,89,69.4,73,113.1,88,108,187,106.1,112,108.3,151,-0.3,166,
2026,Ball St.,65.3,321,63.7,342,100.1,327,98.6,339,108.3,174,109.9,191,-11.3,283,
2026,Baylor,69.6,111,67.8,152,116.4,49,122.9,25,111.8,265,106.9,128,16,45,
2026,Bellarmine,66.1,289,64.6,320,118.5,33,116.5,72,124.8,365,126.1,365,-9.6,264,
2026,Belmont,70,97,68.9,93,118.8,29,120.7,38,105.4,100,108.4,152,12.3,62,
2026,Bethune Cookman,70.9,58,69,88,103.9,274,103.6,276,107.6,151,110.2,196,-6.6,231,
2026,Binghamton,65.1,331,65.3,294,100.5,322,97.6,343,115.2,326,123.1,361,-25.5,336,
2026,Boise St.,66.6,266,65.7,272,113.5,83,117,67,107.2,139,103.8,74,13.2,55,
2026,Boston College,66.3,284,65.9,259,100,328,103.7,274,105,91,102.7,61,1,146,
2026,Boston University,63.4,361,63.1,355,114.5,68,111.8,123,114.2,311,119.8,347,-8,245,
2026,Bowling Green,70.2,88,68.3,125,109.2,153,107.2,206,102.7,55,105.7,106,1.5,136,
2026,Bradley,67.8,212,67.3,182,110,137,111.7,125,105.6,103,107.8,141,3.9,115,
2026,Brown,66.7,257,66.5,228,98.8,338,97.9,341,106.3,115,108.8,162,-10.9,270,
2026,Bryant,64.5,343,64.2,335,96.5,349,96.6,347,112.6,282,119.6,345,-23,326,
2026,Bucknell,67,248,66.9,207,99.5,333,98.2,340,112.5,277,114.8,291,-16.6,305,
2026,Buffalo,67.6,220,66.5,229,113.8,75,112.5,114,112.7,286,115.3,298,-2.8,184,
2026,Butler,70,92,68.7,107,111.3,116,116.1,75,109.4,208,106.6,123,9.5,77,
