model_name,model_family,calibration,season,r1_correct,r1_winner_set_error,r1_points,r1_max_points,r2_correct,r2_winner_set_error,r2_points,r2_max_points,r3_correct,r3_winner_set_error,r3_points,r3_max_points,r4_correct,r4_winner_set_error,r4_points,r4_max_points,r5_correct,r5_winner_set_error,r5_points,r5_max_points,r6_correct,r6_winner_set_error,r6_points,r6_max_points,total_points,max_points,points_pct,point_gap,total_winner_set_error
logreg_raw_weighted_points,logistic,raw,2022,21,22,21,32,8,16,16,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,81,192,0.421875,111,56
gbm_sigmoid_weighted_points,gbm,sigmoid,2022,23,18,23,32,8,16,16,32,2,12,8,32,1,6,8,32,1,2,16,32,0,2,0,32,71,192,0.3697916666666667,121,56
rf_raw_weighted_points,rf,raw,2022,24,16,24,32,8,16,16,32,3,10,12,32,2,4,16,32,0,4,0,32,0,2,0,32,68,192,0.3541666666666667,124,52
logreg_isotonic_weighted_points,logistic,isotonic,2022,20,24,20,32,8,16,16,32,4,8,16,32,2,4,16,32,0,4,0,32,0,2,0,32,68,192,0.3541666666666667,124,58
rf_sigmoid_weighted_points,rf,sigmoid,2022,23,18,23,32,8,16,16,32,3,10,12,32,2,4,16,32,0,4,0,32,0,2,0,32,67,192,0.3489583333333333,125,54
gbm_raw_weighted_points,gbm,raw,2022,21,22,21,32,9,14,18,32,1,14,4,32,1,6,8,32,1,2,16,32,0,2,0,32,67,192,0.3489583333333333,125,60
locked_baseline_sigmoid_weighted_points,logistic,sigmoid,2022,20,24,20,32,8,16,16,32,3,10,12,32,2,4,16,32,0,4,0,32,0,2,0,32,64,192,0.3333333333333333,128,60
logreg_sigmoid_weighted_points,logistic,sigmoid,2022,20,24,20,32,8,16,16,32,3,10,12,32,2,4,16,32,0,4,0,32,0,2,0,32,64,192,0.3333333333333333,128,60
rf_sigmoid_weighted_points,rf,sigmoid,2023,25,14,25,32,11,10,22,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,55,192,0.2864583333333333,137,50
gbm_sigmoid_weighted_points,gbm,sigmoid,2023,25,14,25,32,11,10,22,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,55,192,0.2864583333333333,137,50
rf_raw_weighted_points,rf,raw,2023,24,16,24,32,11,10,22,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,54,192,0.28125,138,52
gbm_raw_weighted_points,gbm,raw,2023,25,14,25,32,10,12,20,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,53,192,0.2760416666666667,139,52
locked_baseline_sigmoid_weighted_points,logistic,sigmoid,2023,24,16,24,32,9,14,18,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,50,192,0.2604166666666667,142,56
logreg_raw_weighted_points,logistic,raw,2023,24,16,24,32,9,14,18,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,50,192,0.2604166666666667,142,56
logreg_sigmoid_weighted_points,logistic,sigmoid,2023,24,16,24,32,9,14,18,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,50,192,0.2604166666666667,142,56
logreg_isotonic_weighted_points,logistic,isotonic,2023,24,16,24,32,9,14,18,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,50,192,0.2604166666666667,142,56
rf_raw_weighted_points,rf,raw,2024,22,20,22,32,13,6,26,32,2,12,8,32,2,4,16,32,2,0,32,32,1,0,32,32,136,192,0.7083333333333334,56,42
rf_sigmoid_weighted_points,rf,sigmoid,2024,22,20,22,32,13,6,26,32,2,12,8,32,2,4,16,32,2,0,32,32,1,0,32,32,136,192,0.7083333333333334,56,42
gbm_raw_weighted_points,gbm,raw,2024,22,20,22,32,12,8,24,32,2,12,8,32,1,6,8,32,1,2,16,32,1,0,32,32,110,192,0.5729166666666666,82,48
gbm_sigmoid_weighted_points,gbm,sigmoid,2024,22,20,22,32,13,6,26,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,92,192,0.4791666666666667,100,44
locked_baseline_sigmoid_weighted_points,logistic,sigmoid,2024,20,24,20,32,13,6,26,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,90,192,0.46875,102,48
logreg_raw_weighted_points,logistic,raw,2024,20,24,20,32,13,6,26,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,90,192,0.46875,102,48
logreg_sigmoid_weighted_points,logistic,sigmoid,2024,20,24,20,32,13,6,26,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,90,192,0.46875,102,48
logreg_isotonic_weighted_points,logistic,isotonic,2024,20,24,20,32,13,6,26,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,90,192,0.46875,102,48
locked_baseline_sigmoid_weighted_points,logistic,sigmoid,2025,25,14,25,32,10,12,20,32,7,2,28,32,4,0,32,32,2,0,32,32,0,2,0,32,137,192,0.7135416666666666,55,30
